"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","upec-98_11162019","upec-99_11172019"
"rutG_2","","putative xanthine/uracil transporter","2","2","1","89","320","","","","263","530","396","upec-98_04608","upec-99_03430"
"flhC","","FlhDC DNA-binding transcriptional dual regulator","2","2","1","88","391","","","","530","578","554","upec-98_00489","upec-99_01360"
"flhE","","flagellar protein","2","2","1","88","405","","","","392","392","392","upec-98_00502","upec-99_01347"
"cutC","","copper homeostasis protein","2","2","1","88","409","","","","746","746","746","upec-98_00505","upec-99_01343"
"torY","","trimethylamine N-oxide reductase III, c-type cytochrome subunit","2","2","1","88","410","","","","1100","1100","1100","upec-98_00506","upec-99_01342"
"torZ","","trimethylamine N-oxide reductase III, TorZ subunit","2","2","1","88","411","","","","950","2429","1689","upec-98_00507","upec-99_01341"
"nudB","","dihydroneopterin triphosphate pyrophosphohydrolase","2","2","1","88","418","","","","443","509","476","upec-98_00514","upec-99_01334"
"group_166","","hypothetical protein","2","2","1","88","439","","","","110","110","110","upec-98_00534","upec-99_01312"
"group_167","","hypothetical protein","2","2","1","88","350","","","","659","659","659","upec-98_00535","upec-99_01311"
"pphA","","protein phosphatase 1 modulates phosphoproteins, signals protein misfolding","2","2","1","88","342","","","","656","656","656","upec-98_00543","upec-99_01303"
"yebW","","putative protein","2","2","1","88","341","","","","275","275","275","upec-98_00544","upec-99_01302"
"rsmF","","16S rRNA methyltransferase","2","2","1","88","339","","","","1445","1445","1445","upec-98_00546","upec-99_01300"
"msrC","","free methionine-(R)-sulfoxide reductase","2","2","1","88","336","","","","551","551","551","upec-98_00549","upec-99_01297"
"rlmA","","23S rRNA m1G745 methyltransferase","2","2","1","88","327","","","","809","809","809","upec-98_00558","upec-99_01288"
"group_173","","hypothetical protein","2","2","1","88","325","","","","221","458","339","upec-98_00560","upec-99_01286"
"yoaC","","putative protein","2","2","1","88","315","","","","299","299","299","upec-98_00570","upec-99_01275"
"yeaE","","methylglyoxal reductase","2","2","1","88","292","","","","854","854","854","upec-98_00593","upec-99_01668"
"group_176","","hypothetical protein","2","2","1","88","291","","","","884","884","884","upec-98_00594","upec-99_01667"
"group_177","","hypothetical protein","2","2","1","88","288","","","","272","272","272","upec-98_00597","upec-99_01664"
"ydjK","","putative transporter","2","2","1","88","286","","","","1262","1379","1320","upec-98_00599","upec-99_01662"
"pncA","","pyrazinamidase / nicotinamidase","2","2","1","88","279","","","","641","641","641","upec-98_00606","upec-99_01039"
"group_18","","hypothetical protein","2","2","1","85","130","","","","194","1055","624","upec-98_00241","upec-99_04115"
"topB","","DNA topoisomerase III","2","2","1","88","274","","","","1955","1961","1958","upec-98_00611","upec-99_01034"
"ynjH","","putative protein","2","2","1","88","271","","","","272","272","272","upec-98_00613","upec-99_01031"
"nudG","","oxidized nucleoside triphosphate pyrophosphohydrolase","2","2","1","88","270","","","","407","407","407","upec-98_00614","upec-99_01030"
"ynjF","","putative phosphatidyl transferase, inner membrane protein","2","2","1","88","269","","","","620","620","620","upec-98_00615","upec-99_01029"
"ynjE","","molybdopterin synthase sulfurtransferase","2","2","1","88","268","","","","1274","1307","1290","upec-98_00616","upec-99_01028"
"ynjD","","YnjC/YnjD ABC transporter","2","2","1","88","267","","","","653","653","653","upec-98_00617","upec-99_01027"
"ynjC","","YnjC/YnjD ABC transporter","2","2","1","88","266","","","","1535","1535","1535","upec-98_00618","upec-99_01026"
"group_187","","hypothetical protein","2","2","1","88","264","","","","548","548","548","upec-98_00620","upec-99_01024"
"ydjX","","putative inner membrane protein","2","2","1","88","261","","","","710","710","710","upec-98_00623","upec-99_01021"
"astC","","succinylornithine transaminase","2","2","1","88","259","","","","1220","1220","1220","upec-98_00625","upec-99_01019"
"group_19","","hypothetical protein","2","2","1","88","436","","","","146","290","218","upec-98_00532","upec-99_01315"
"astA","","arginine succinyltransferase","2","2","1","88","258","","","","860","1034","947","upec-98_00626","upec-99_01018"
"astD","","aldehyde dehydrogenase","2","2","1","88","257","","","","1478","1478","1478","upec-98_00627","upec-99_01017"
"astB","","succinylarginine dihydrolase","2","2","1","88","256","","","","1343","1343","1343","upec-98_00628","upec-99_01016"
"group_193","","hypothetical protein","2","2","1","88","253","","","","575","575","575","upec-98_00631","upec-99_02763"
"cho","","endonuclease of nucleotide excision repair","2","2","1","88","252","","","","887","887","887","upec-98_00632","upec-99_02764"
"cedA","","cell division modulator","2","2","1","88","242","","","","263","263","263","upec-98_00642","upec-99_02774"
"yniB","","putative inner membrane protein","2","2","1","88","237","","","","536","536","536","upec-98_00646","upec-99_02779"
"btuE","","thioredoxin/glutathione peroxidase","2","2","1","88","222","","","","551","551","551","upec-98_00661","upec-99_02795"
"group_198","","hypothetical protein","2","2","1","88","219","","","","713","713","713","upec-98_00664","upec-99_02798"
"group_199","","hypothetical protein","2","2","1","88","218","","","","1436","1436","1436","upec-98_00665","upec-99_02799"
"group_200","","hypothetical protein","2","2","1","88","217","","","","191","191","191","upec-98_00666","upec-99_02800"
"ydiT","","putative ferredoxin","2","2","1","88","212","","","","293","293","293","upec-98_00671","upec-99_02805"
"ydiR","","putative subunit of YdiQ-YdiR flavoprotein","2","2","1","88","210","","","","938","938","938","upec-98_00673","upec-99_02807"
"ydiQ","","putative subunit of YdiQ-YdiR flavoprotein","2","2","1","88","209","","","","764","764","764","upec-98_00674","upec-99_02808"
"ydiM","","putative transporter","2","2","1","88","201","","","","1214","1214","1214","upec-98_00682","upec-99_02816"
"group_205","","hypothetical protein","2","2","1","88","200","","","","356","356","356","upec-98_00683","upec-99_02817"
"ydiJ","","putative FAD-linked oxidoreductase","2","2","1","88","198","","","","812","3056","1934","upec-98_00685","upec-99_02820"
"pykF","","pyruvate kinase I monomer","2","2","1","88","187","","","","290","1412","851","upec-98_00696","upec-99_02831"
"ydhU","","putative cytochrome","2","2","1","88","180","","","","785","785","785","upec-98_00702","upec-99_02838"
"mdtK","","multidrug efflux transporter MdtK","2","2","1","88","175","","","","764","1373","1068","upec-98_00709","upec-99_02845"
"envZ_2","","EnvZ sensory histidine kinase","2","2","1","88","118","","","","752","1301","1026","upec-98_00763","upec-99_00369"
"group_210","","hypothetical protein","2","2","1","88","159","","","","239","239","239","upec-98_00724","upec-99_02862"
"uidR","","UidR DNA-binding transcriptional repressor","2","2","1","88","129","","","","578","590","584","upec-98_00754","upec-99_00380"
"manA","","mannose-6-phosphate isomerase","2","2","1","88","123","","","","1175","1175","1175","upec-98_00759","upec-99_00374"
"yedW_3","","putative DNA-binding response regulator in two-component system with YedV","2","2","1","88","117","","","","719","722","720","upec-98_00764","upec-99_00368"
"ydgC","","hypothetical protein","2","2","1","88","116","","","","335","335","335","upec-98_00765","upec-99_00367"
"ynfL","","putative DNA-binding transcriptional regulator","2","2","1","88","104","","","","893","893","893","upec-98_00777","upec-99_00355"
"ynfH","","oxidoreductase, predicted membrane anchor subunit","2","2","1","88","99","","","","854","854","854","upec-98_00782","upec-99_00350"
"ynfC","","YnfC lipoprotein","2","2","1","88","94","","","","746","746","746","upec-98_00787","upec-99_00345"
"ynfB","","putative protein","2","2","1","88","92","","","","341","341","341","upec-98_00789","upec-99_00343"
"ydfJ","","putative transporter","2","2","1","88","88","","","","248","1367","807","upec-98_00793","upec-99_00339"
"ydfI_1","","putative mannonate dehydrogenase","2","2","1","88","87","","","","1460","1460","1460","upec-98_00794","upec-99_00338"
"ydeE","","putative transport protein YdeE","2","2","1","88","78","","","","1187","1187","1187","upec-98_00801","upec-99_00327"
"eamA","","O-acetylserine/cysteine export protein","2","2","1","88","77","","","","818","899","858","upec-98_00802","upec-99_00326"
"marR","","MarR transcriptional repressor","2","2","1","88","66","","","","434","434","434","upec-98_00812","upec-99_00323"
"yneJ","","putative DNA-binding transcriptional regulator, LysR-type","2","2","1","88","62","","","","881","881","881","upec-98_00815","upec-99_00319"
"group_225","","hypothetical protein","2","2","1","88","59","","","","359","359","359","upec-98_00818","upec-99_00316"
"yneF","","putative diguanylate cyclase","2","2","1","88","58","","","","947","1418","1182","upec-98_00819","upec-99_00315"
"tam","","trans-aconitate methyltransferase","2","2","1","88","55","","","","758","758","758","upec-98_00823","upec-99_00312"
"hipA","","Serine/threonine-protein kinase HipA","2","2","1","88","53","","","","1322","1322","1322","upec-98_00825","upec-99_00300"
"ydeT","","putative protein","2","2","1","88","38","","","","1148","2651","1899","upec-98_00832","upec-99_00299"
"group_23","","hypothetical protein","2","2","1","86","223","","","","314","440","377","upec-98_00985","upec-99_00171"
"ydeR","","putative fimbrial-like adhesin protein","2","2","1","88","36","","","","503","503","503","upec-98_00834","upec-99_00297"
"ydeQ","","putative fimbrial-like adhesin protein","2","2","1","88","35","","","","914","914","914","upec-98_00835","upec-99_00296"
"safA","","two-component system connector protein","2","2","1","88","33","","","","197","197","197","upec-98_00837","upec-99_00294"
"thiH","","tyrosine lyase","2","2","1","78","11","","","","1133","1133","1133","upec-98_00855","upec-99_00046"
"thiG","","thiazole synthase","2","2","1","78","12","","","","770","770","770","upec-98_00856","upec-99_00047"
"thiS","","Sulfur carrier protein ThiS","2","2","1","78","13","","","","200","200","200","upec-98_00857","upec-99_00048"
"tusB","","sulfur transfer protein complex, TusB subunit","2","2","1","86","109","","","","287","287","287","upec-98_00878","upec-99_00069"
"tusD","","sulfur transfer protein complex, TusD subunit","2","2","1","86","111","","","","386","386","386","upec-98_00880","upec-99_00071"
"yheT","","putative hydrolase","2","2","1","86","120","","","","1022","1022","1022","upec-98_00889","upec-99_00080"
"pabA","","para-aminobenzoate synthase multi-enzyme complex","2","2","1","86","127","","","","563","563","563","upec-98_00896","upec-99_00087"
"fic_1","","stationary-phase protein with possible role in p-aminobenzoate or folate biosynthesis","2","2","1","86","128","","","","602","602","602","upec-98_00897","upec-99_00088"
"yhfG","","putative protein","2","2","1","86","129","","","","167","167","167","upec-98_00898","upec-99_00089"
"group_242","","hypothetical protein","2","2","1","86","142","","","","1085","1085","1085","upec-98_00906","upec-99_00102"
"yhfW","","putative mutase","2","2","1","86","146","","","","1226","1226","1226","upec-98_00910","upec-99_00106"
"hofQ","","protein involved in utilization of DNA as a carbon source","2","2","1","86","158","","","","1208","1208","1208","upec-98_00921","upec-99_00117"
"hofP","","protein involved in utilization of DNA as a carbon source","2","2","1","86","159","","","","404","404","404","upec-98_00922","upec-99_00118"
"hofN","","protein involved in utilization of DNA as a carbon source","2","2","1","86","161","","","","539","539","539","upec-98_00924","upec-99_00120"
"hofM","","protein involved in utilization of DNA as a carbon source","2","2","1","86","162","","","","779","779","779","upec-98_00925","upec-99_00121"
"hslR_2","","heat shock protein Hsp15 involved in ribosome recycling","2","2","1","86","168","","","","206","401","303","upec-98_00931","upec-99_00126"
"yhgE","","putative transport protein","2","2","1","86","170","","","","1724","1724","1724","upec-98_00933","upec-99_00128"
"feoC","","putative DNA-binding transcriptional regulator","2","2","1","86","178","","","","236","236","236","upec-98_00941","upec-99_00136"
"rtcA","","RNA 3'-terminal phosphate cyclase","2","2","1","86","188","","","","1016","1016","1016","upec-98_00951","upec-99_00145"
"rtcR","","RtcR DNA-binding transcriptional activator","2","2","1","86","190","","","","1598","1598","1598","upec-98_00953","upec-99_00147"
"group_253","","hypothetical protein","2","2","1","86","219","","","","494","494","494","upec-98_00982","upec-99_00166"
"yrhB","","putative protein with chaperone-like activity","2","2","1","86","220","","","","284","284","284","upec-98_00983","upec-99_00168"
"ggt","","Gamma-glutamyltranspeptidase","2","2","1","86","221","","","","1634","1733","1683","upec-98_00984","upec-99_00169"
"ugpC","","glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative ATP binding subunit","2","2","1","86","98","","","","1070","1070","1070","upec-98_00987","upec-99_00173"
"yhhK","","putative maturation factor for PanD","2","2","1","86","89","","","","383","383","383","upec-98_00996","upec-99_00182"
"nikE","","nickel ABC transporter - ATP binding subunit","2","2","1","86","68","","","","806","806","806","upec-98_01023","upec-99_00203"
"arsC","","arsenate reductase","2","2","1","86","40","","","","425","425","425","upec-98_01047","upec-99_02748"
"narZ_1","","nitrate reductase Z, alpha subunit","2","2","1","80","16","","","","590","3740","2165","upec-98_01121","upec-99_00908"
"hdeA","","acid-resistance protein, possible chaperone","2","2","1","86","27","","","","200","332","266","upec-98_01061","upec-99_02754"
"group_261","","hypothetical protein","2","2","1","69","6","","","","932","965","948","upec-98_01079","upec-99_02759"
"group_262","","hypothetical protein","2","2","1","69","4","","","","857","1379","1118","upec-98_01081","upec-99_02757"
"narW","","NarW, probable private chaperone for NarZ nitrate reductase subunit","2","2","1","80","14","","","","695","695","695","upec-98_01123","upec-99_00906"
"group_266","","hypothetical protein","2","2","1","80","12","","","","893","893","893","upec-98_01125","upec-99_00904"
"nhoA","","N-hydroxyarylamine O-acetyltransferase","2","2","1","80","11","","","","845","845","845","upec-98_01126","upec-99_00903"
"group_268","","hypothetical protein","2","2","1","80","10","","","","569","569","569","upec-98_01127","upec-99_00902"
"mec","","CysO-cysteine peptidase","2","2","1","89","116","","","","599","743","671","upec-98_01141","upec-99_03814"
"yghW","","putative protein","2","2","1","91","490","","","","260","287","273","upec-98_01145","upec-99_04203"
"yghS","","putative protein with nucleoside triphosphate hydrolase domain protein","2","2","1","91","477","","","","698","713","705","upec-98_01158","upec-99_04190"
"yghR","","putative protein with nucleoside triphosphate hydrolase domain protein","2","2","1","91","476","","","","758","770","764","upec-98_01159","upec-99_04189"
"yghQ","","putative inner membrane protein","2","2","1","91","475","","","","1049","1349","1199","upec-98_01160","upec-99_04188"
"ubiX","","3-octaprenyl-4-hydroxybenzoate decarboxylase together with UbiG","2","2","1","90","868","","","","569","569","569","upec-98_01215","upec-99_00692"
"yfcG","","disulfide bond reductase","2","2","1","90","878","","","","389","647","518","upec-98_01224","upec-99_00701"
"rbn","","RNase BN","2","2","1","90","913","","","","917","917","917","upec-98_01255","upec-99_01602"
"menH","","(1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","90","919","","","","758","758","758","upec-98_01260","upec-99_01597"
"menC","","o-succinylbenzoate synthase","2","2","1","90","921","","","","962","962","962","upec-98_01262","upec-99_01595"
"menE","","o-succinylbenzoate-CoA ligase","2","2","1","90","922","","","","1355","1355","1355","upec-98_01263","upec-99_01594"
"arnE","","undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit","2","2","1","90","926","","","","335","335","335","upec-98_01266","upec-99_01591"
"group_280","","hypothetical protein","2","2","1","90","930","","","","890","890","890","upec-98_01268","upec-99_01589"
"arnB","","UDP-L-Ara4O C-4"" transaminase","2","2","1","90","933","","","","1157","1157","1157","upec-98_01271","upec-99_03031"
"yfaZ","","outer membrane protein","2","2","1","90","936","","","","542","542","542","upec-98_01274","upec-99_03028"
"group_283","","hypothetical protein","2","2","1","90","937","","","","1202","1202","1202","upec-98_01275","upec-99_03027"
"yfaX","","putative DNA-binding transcriptional regulator","2","2","1","90","938","","","","782","782","782","upec-98_01276","upec-99_03026"
"yfaE","","2Fe-2S cluster-containing protein involved in diferric-tyrosyl radical cofactor maintenance","2","2","1","90","953","","","","254","254","254","upec-98_01287","upec-99_03012"
"yfaA","","putative protein","2","2","1","90","960","","","","1688","1688","1688","upec-98_01293","upec-99_03006"
"yfaT","","putative protein","2","2","1","90","961","","","","395","623","509","upec-98_01294","upec-99_03005"
"group_288","","hypothetical protein","2","2","1","90","962","","","","2996","4604","3800","upec-98_01295","upec-99_03004"
"ompC","","outer membrane porin C","2","2","1","90","974","","","","1091","1103","1097","upec-98_01307","upec-99_02992"
"apbE","","putative thiamine biosynthesis lipoprotein","2","2","1","90","975","","","","737","1055","896","upec-98_01308","upec-99_02991"
"alkB","","AlkB repair system for alkylated DNA and RNA","2","2","1","90","977","","","","650","650","650","upec-98_01310","upec-99_02990"
"ccmB","","protoheme IX ABC transporter - membrane subunit CcmB","2","2","1","90","990","","","","416","662","539","upec-98_01323","upec-99_02977"
"yejO","","putative autotransporter outer membrane protein","2","2","1","90","998","","","","203","2591","1397","upec-98_01331","upec-99_02969"
"rplY","","50S ribosomal subunit protein L25","2","2","1","90","1003","","","","284","284","284","upec-98_01337","upec-99_02964"
"yeiQ","","putative dehydrogenase, NAD-dependent","2","2","1","90","1017","","","","1466","1466","1466","upec-98_01350","upec-99_02950"
"psuG","","putative pseudouridine 5'-phosphate glycosidase","2","2","1","90","1026","","","","938","938","938","upec-98_01358","upec-99_02942"
"yeiL","","YeiL DNA-binding transcriptional activator","2","2","1","90","1028","","","","698","698","698","upec-98_01360","upec-99_02940"
"group_298","","hypothetical protein","2","2","1","90","1222","","","","1157","1157","1157","upec-98_01370","upec-99_02929"
"preT","","NADH-dependent dihydropyrimidine dehydrogenase subunit","2","2","1","90","1216","","","","1238","1238","1238","upec-98_01376","upec-99_02923"
"cbeA_2","","CP4-44 prophage; antitoxin of the CbtA-CbeA toxin-antitoxin system","2","2","1","90","1048","","","","368","368","368","upec-98_01527","upec-99_00521"
"mdtQ","","putative channel/filament protein","2","2","1","90","1209","","","","1436","1436","1436","upec-98_01383","upec-99_02916"
"yohF","","putative oxidoreductase with NAD(P)-binding Rossmann-fold domain protein","2","2","1","90","1208","","","","761","761","761","upec-98_01384","upec-99_02915"
"osmF","","YehW/YehX/YehY/YehZ ABC transporter","2","2","1","90","1202","","","","917","917","917","upec-98_01390","upec-99_02909"
"osmB","","OsmB osmotically inducible lipoprotein","2","2","1","91","1693","","","","218","218","218","upec-98_02092","upec-99_01795"
"narI","","nitrate reductase A, gamma subunit","2","2","1","91","1624","","","","677","677","677","upec-98_04856","upec-99_03035"
"lipB","","lipoyl(octanoyl) transferase","2","2","1","89","672","","","","641","641","641","upec-98_04266","upec-99_03580"
"alr","","alanine racemase 1, PLP-binding, biosynthetic","2","2","1","91","181","","","","1079","1079","1079","upec-98_04095","upec-99_03893"
"flgI","","flagellar P-ring protein FlgI","2","2","1","89","250","","","","1097","1097","1097","upec-98_04677","upec-99_00282"
"hspQ","","heat shock protein, hemimethylated DNA-binding protein","2","2","1","89","356","","","","317","317","317","upec-98_04576","upec-99_03390"
"hupB","","transcriptional dual regulator HU-beta, NS1 (HU-1)","2","2","1","87","101","","","","272","272","272","upec-98_03942","upec-99_01426"
"group_3029","","hypothetical protein","2","2","1","91","719","","","","362","362","362","upec-98_02385","upec-99_01579"
"yehY","","YehW/YehX/YehY/YehZ ABC transporter","2","2","1","90","1201","","","","1157","1157","1157","upec-98_01391","upec-99_02908"
"mdtH","","YceL MFS transporter","2","2","1","89","265","","","","1208","1208","1208","upec-98_04662","upec-99_00267"
"rnk","","regulator of nucleoside diphosphate kinase","2","2","1","89","691","","","","410","410","410","upec-98_04248","upec-99_03560"
"csgE","","curli transport specificity factor","2","2","1","89","290","","","","389","389","389","upec-98_04637","upec-99_00242"
"exbB","","TonB energy transducing system - ExbB subunit","2","2","1","91","1098","","","","734","734","734","upec-98_01983","upec-99_04211"
"rsfS","","ribosomal silencing factor","2","2","1","89","665","","","","317","317","317","upec-98_04273","upec-99_03587"
"hemB","","porphobilinogen synthase","2","2","1","87","306","","","","974","974","974","upec-98_04009","upec-99_01918"
"rplB","","50S ribosomal subunit protein L2","2","2","1","81","47","","","","821","821","821","upec-98_00105","upec-99_02705"
"ucpA","","putative oxidoreductase","2","2","1","90","694","","","","791","791","791","upec-98_03594","upec-99_03109"
"mntR","","MntR-Mn2  DNA-binding transcriptional dual regulator","2","2","1","89","495","","","","467","467","467","upec-98_04431","upec-99_03240"
"ybjJ","","putative transporter","2","2","1","89","468","","","","1127","1127","1127","upec-98_04458","upec-99_03268"
"yehX","","YehW/YehX/YehY/YehZ ABC transporter","2","2","1","90","1200","","","","926","926","926","upec-98_01392","upec-99_02907"
"yebV","","putative protein","2","2","1","88","340","","","","236","236","236","upec-98_00545","upec-99_01301"
"hisP","","lysine / arginine / ornithine ABC transporter / histidine ABC transporter - ATP binding subunit","2","2","1","90","874","","","","773","773","773","upec-98_01220","upec-99_00697"
"ybjO","","putative inner membrane protein","2","2","1","89","455","","","","488","488","488","upec-98_04471","upec-99_03282"
"map","","methionine aminopeptidase","2","2","1","91","1245","","","","794","794","794","upec-98_02252","upec-99_04563"
"dnaN","","DNA polymerase III, holoenzyme","2","2","1","91","864","","","","1100","1100","1100","upec-98_02514","upec-99_02469"
"yibF","","glutathione transferase-like protein possibly involved in selenium metabolism","2","2","1","91","711","","","","608","608","608","upec-98_02378","upec-99_01963"
"yadH","","YadG/YadH ABC transporter","2","2","1","91","1292","","","","770","770","770","upec-98_02290","upec-99_04524"
"ylaC","","putative inner membrane protein","2","2","1","87","84","","","","470","470","470","upec-98_03925","upec-99_01409"
"livG","","branched chain amino acid transporter - ATP binding subunit","2","2","1","86","93","","","","767","767","767","upec-98_00992","upec-99_00178"
"iscR","","IscR DNA-binding transcriptional dual regulator","2","2","1","90","597","","","","488","488","488","upec-98_03682","upec-99_02021"
"yehQ","","putative protein","2","2","1","90","1191","","","","722","2003","1362","upec-98_01400","upec-99_02899"
"group_3050","","hypothetical protein","2","2","1","82","11","","","","338","338","338","upec-98_00305","upec-99_03615"
"group_3051","","hypothetical protein","2","2","1","90","1051","","","","329","329","329","upec-98_01524","upec-99_00518"
"acrR","","AcrR DNA-binding transcriptional repressor","2","2","1","87","78","","","","647","647","647","upec-98_03919","upec-99_01403"
"nanC","","N-acetylneuraminic acid outer membrane channel","2","2","1","91","1152","","","","716","716","716","upec-98_02019","upec-99_04626"
