"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","A_11102019","K_11082019"
"traA","","Pilin","2","2","1","120","75","","","","362","365","363","A_00196","K_03879"
"group_148","","hypothetical protein","2","2","1","120","71","","","","1427","1451","1439","A_00200","K_03883"
"group_149","","hypothetical protein","2","2","1","120","68","","","","515","515","515","A_00203","K_03887"
"group_150","","hypothetical protein","2","2","1","120","65","","","","386","386","386","A_00207","K_03890"
"group_151","","hypothetical protein","2","2","1","104","4","","","","218","3005","1611","A_00225","K_05041"
"rutA","","Pyrimidine monooxygenase RutA","2","2","1","135","434","","","","1022","1091","1056","A_00252","K_03236"
"rutD","","Putative aminoacrylate hydrolase RutD","2","2","1","135","437","","","","800","812","806","A_00255","K_03233"
"rutE","","putative malonic semialdehyde reductase RutE","2","2","1","135","438","","","","590","590","590","A_00256","K_03232"
"torD","","Chaperone protein TorD","2","2","1","135","450","","","","599","599","599","A_00267","K_03222"
"torS","","Sensor protein TorS","2","2","1","135","455","","","","2687","2699","2693","A_00272","K_03217"
"bluF","","Blue light- and temperature-regulated antirepressor BluF","2","2","1","125","25","","","","1211","1211","1211","A_00288","K_04352"
"ycgZ","","putative two-component-system connector protein YcgZ","2","2","1","125","26","","","","236","236","236","A_00289","K_04351"
"dhfrI","","Dihydrofolate reductase type 1","2","2","1","103","4","","","","599","701","650","A_00299","K_01811"
"pabB","","Aminodeoxychorismate synthase component 1","2","2","1","131","81","","","","1361","1361","1361","A_00318","K_00100"
"group_161","","hypothetical protein","2","2","1","131","95","","","","188","239","213","A_00332","K_00114"
"rsmF","","Ribosomal RNA small subunit methyltransferase F","2","2","1","131","104","","","","1445","1445","1445","A_00341","K_00123"
"group_163","","hypothetical protein","2","2","1","131","106","","","","275","275","275","A_00343","K_00125"
"ygdG","","Flap endonuclease Xni","2","2","1","134","950","","","","845","845","845","A_00370","K_03621"
"lsrK_2","","Autoinducer 2 kinase LsrK","2","2","1","134","132","","","","1478","1478","1478","A_00393","K_03644"
"bioF","","8-amino-7-oxononanoate synthase","2","2","1","135","662","","","","1154","1154","1154","A_00404","K_04832"
"thiM","","Hydroxyethylthiazole kinase","2","2","1","135","843","","","","788","788","788","A_00419","K_04212"
"acm","","Lysozyme M1","2","2","1","135","841","","","","818","818","818","A_00421","K_04210"
"draG","","ADP-ribosyl-[dinitrogen reductase] glycohydrolase","2","2","1","135","838","","","","1004","1004","1004","A_00424","K_04207"
"gatZ","","D-tagatose-1,6-bisphosphate aldolase subunit GatZ","2","2","1","135","834","","","","1262","1262","1262","A_00428","K_04203"
"gatB_3","","Galactitol-specific phosphotransferase enzyme IIB component","2","2","1","135","832","","","","284","284","284","A_00430","K_04201"
"group_172","","hypothetical protein","2","2","1","135","827","","","","317","317","317","A_00435","K_04196"
"group_173","","hypothetical protein","2","2","1","135","820","","","","302","302","302","A_00442","K_04189"
"group_174","","hypothetical protein","2","2","1","135","818","","","","275","275","275","A_00444","K_04187"
"group_175","","hypothetical protein","2","2","1","135","817","","","","2276","2288","2282","A_00445","K_04186"
"group_176","","hypothetical protein","2","2","1","135","805","","","","1073","1073","1073","A_00452","K_04178"
"group_177","","hypothetical protein","2","2","1","135","792","","","","635","635","635","A_00463","K_04167"
"group_178","","hypothetical protein","2","2","1","135","769","","","","680","680","680","A_00486","K_04144"
"group_179","","Electron transfer flavoprotein-ubiquinone oxidoreductase","2","2","1","134","123","","","","1271","1271","1271","A_00503","K_03653"
"etfB_3","","Electron transfer flavoprotein subunit beta","2","2","1","134","127","","","","779","779","779","A_00507","K_03649"
"group_181","","hypothetical protein","2","2","1","135","284","","","","1127","1127","1127","A_00512","K_03771"
"group_182","","hypothetical protein","2","2","1","135","300","","","","128","128","128","A_00527","K_03756"
"fes","","Enterochelin esterase","2","2","1","135","11","","","","1202","1202","1202","A_00532","K_04589"
"entF","","Enterobactin synthase component F","2","2","1","135","13","","","","3881","3881","3881","A_00534","K_04591"
"fepE","","Ferric enterobactin transport protein FepE","2","2","1","135","14","","","","1118","1133","1125","A_00535","K_04592"
"fepG","","Ferric enterobactin transport system permease protein FepG","2","2","1","135","16","","","","992","992","992","A_00537","K_04594"
"nikE","","Nickel import ATP-binding protein NikE","2","2","1","128","66","","","","806","806","806","A_00644","K_00636"
"sfp","","4'-phosphopantetheinyl transferase sfp","2","2","1","128","73","","","","587","587","587","A_00649","K_00630"
"tusA_2","","Sulfurtransferase TusA","2","2","1","128","96","","","","245","245","245","A_00655","K_00607"
"panM","","PanD maturation factor","2","2","1","128","107","","","","383","383","383","A_00666","K_00595"
"eutQ","","Ethanolamine utilization protein EutQ","2","2","1","127","153","","","","701","701","701","A_00684","K_01491"
"pduV","","Propanediol utilization protein PduV","2","2","1","127","146","","","","479","479","479","A_00685","K_01492"
"tmcA","","tRNA(Met) cytidine acetyltransferase TmcA","2","2","1","127","132","","","","2015","2015","2015","A_00699","K_01506"
"hyfA_1","","Hydrogenase-4 component A","2","2","1","127","125","","","","617","617","617","A_00707","K_01513"
"hyfG","","Hydrogenase-4 component G","2","2","1","127","117","","","","1667","1715","1691","A_00715","K_01519"
"clcD_1","","Carboxymethylenebutenolidase","2","2","1","133","286","","","","410","884","647","A_01004","K_04087"
"nuoI_1","","NADH-quinone oxidoreductase subunit I","2","2","1","127","116","","","","539","545","542","A_00716","K_01520"
"group_201","","hypothetical protein","2","2","1","127","114","","","","413","413","413","A_00718","K_01522"
"group_202","","hypothetical protein","2","2","1","127","62","","","","854","854","854","A_00765","K_00999"
"manR_1","","Transcriptional regulator ManR","2","2","1","127","61","","","","1169","1280","1224","A_00766","K_00998"
"hcaD","","3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD( ) reductase component","2","2","1","127","54","","","","1202","1202","1202","A_00773","K_00991"
"galM_1","","Aldose 1-epimerase","2","2","1","127","52","","","","872","872","872","A_00775","K_00989"
"nanK_1","","N-acetylmannosamine kinase","2","2","1","127","46","","","","1109","1193","1151","A_00781","K_00983"
"qseG","","Quorum-sensing regulator protein G","2","2","1","127","41","","","","713","713","713","A_00786","K_00978"
"acpS","","Holo-[acyl-carrier-protein] synthase","2","2","1","127","33","","","","380","380","380","A_00794","K_00970"
"group_209","","hypothetical protein","2","2","1","127","26","","","","479","479","479","A_00801","K_00963"
"cmpR_1","","HTH-type transcriptional activator CmpR","2","2","1","127","19","","","","881","881","881","A_00808","K_03149"
"eamB","","Cysteine/O-acetylserine efflux protein","2","2","1","127","16","","","","587","587","587","A_00809","K_03150"
"ylpA","","Lipoprotein YlpA","2","2","1","120","48","","","","731","776","753","A_00845","K_03906"
"group_217","","hypothetical protein","2","2","1","120","37","","","","746","746","746","A_00849","K_03909"
"finO_1","","Fertility inhibition protein","2","2","1","120","36","","","","560","560","560","A_00851","K_03910"
"group_219","","hypothetical protein","2","2","1","114","47","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","572","671","621","A_00859","K_04053"
"group_220","gutB_1","Sorbitol dehydrogenase","2","2","1","131","42","","","","908","1025","966","A_00862","K_00062"
"yvgN_1","","Glyoxal reductase","2","2","1","131","49","","","","854","854","854","A_00869","K_00069"
"group_222","","hypothetical protein","2","2","1","133","184","","","","299","299","299","A_00910","K_04423"
"group_223","","hypothetical protein","2","2","1","133","199","","","","683","692","687","A_00924","K_04408"
"group_224","","hypothetical protein","2","2","1","133","200","","","","503","503","503","A_00925","K_04407"
"ygjH","","tRNA-binding protein YgjH","2","2","1","133","211","","","","332","332","332","A_00936","K_04396"
"yqjH","","NADPH-dependent ferric-chelate reductase","2","2","1","133","215","","","","764","764","764","A_00940","K_04392"
"ttdA_2","","L( )-tartrate dehydratase subunit alpha","2","2","1","133","223","","","","770","911","840","A_00949","K_04383"
"ybgD_2","","putative fimbrial-like protein YbgD","2","2","1","133","239","","","","509","551","530","A_00965","K_02371"
"group_229","","hypothetical protein","2","2","1","133","273","","","","926","926","926","A_00993","K_00004"
"dkgA","","2,5-diketo-D-gluconic acid reductase A","2","2","1","133","274","","","","710","827","768","A_00994","K_00005"
"rclR","","RCS-specific HTH-type transcriptional activator RclR","2","2","1","133","276","","","","563","956","759","A_00996","K_04097"
"trpC","","Tryptophan biosynthesis protein TrpCF","2","2","1","135","314","","","","1358","1358","1358","A_01029","K_03743"
"group_233","","hypothetical protein","2","2","1","120","32","","","","1463","1571","1517","A_01038","K_03914"
"mdh_1","","NAD-dependent methanol dehydrogenase","2","2","1","116","2","","","","1187","1187","1187","A_01044","K_00048"
"ddpX","","D-alanyl-D-alanine dipeptidase","2","2","1","117","43","","","","581","581","581","A_01053","K_00240"
"ddpD_1","","putative D,D-dipeptide transport ATP-binding protein DdpD","2","2","1","117","39","","","","986","986","986","A_01057","K_00236"
"ddpF","","putative D,D-dipeptide transport ATP-binding protein DdpF","2","2","1","117","38","","","","926","926","926","A_01058","K_00235"
"ompD","","Outer membrane porin protein OmpD","2","2","1","117","24","","","","290","1100","695","A_01070","K_00221"
"group_239","","hypothetical protein","2","2","1","117","23","","","","1061","1259","1160","A_01071","K_01783"
"yddE","","putative isomerase YddE","2","2","1","117","17","","","","893","893","893","A_01077","K_01790"
"yokD","","SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD","2","2","1","89","7","","","","860","860","860","A_01090","K_01825"
"group_244","bssD_2","Benzylsuccinate synthase activating enzyme","2","2","1","126","36","","","","878","878","878","A_01106","K_01912"
"group_245","","hypothetical protein","2","2","1","126","50","","","","608","608","608","A_01120","K_01928"
"glpX","","Fructose-1,6-bisphosphatase 1 class 2","2","2","1","126","62","","","","1010","1139","1074","A_01133","K_01942"
"fpr","","Ferredoxin--NADP reductase","2","2","1","126","63","","","","746","746","746","A_01134","K_01943"
"cpxP","","Periplasmic protein CpxP","2","2","1","126","73","","","","488","500","494","A_01144","K_01953"
"kdgT","","2-keto-3-deoxygluconate permease","2","2","1","126","77","","","","941","983","962","A_01148","K_01957"
"agp_1","","Glucose-1-phosphatase","2","2","1","101","12","","","","368","743","555","A_01242","K_02470"
"rhaB","","Rhamnulokinase","2","2","1","126","82","","","","1469","1469","1469","A_01153","K_01962"
"rhaM","","L-rhamnose mutarotase","2","2","1","126","85","","","","314","314","314","A_01156","K_01965"
"group_252","","hypothetical protein","2","2","1","126","99","","","","107","1814","960","A_01171","K_01977"
"ydcO","","Inner membrane protein YdcO","2","2","1","135","186","","","","1172","1175","1173","A_01173","K_03855"
"sutR","","HTH-type transcriptional regulator SutR","2","2","1","135","184","","","","536","536","536","A_01174","K_03856"
"hicA","","putative mRNA interferase HicA","2","2","1","135","181","","","","176","176","176","A_01177","K_03859"
"hicB","","Antitoxin HicB","2","2","1","135","180","","","","437","437","437","A_01178","K_03860"
"potA_2","","Spermidine/putrescine import ATP-binding protein PotA","2","2","1","135","177","","","","1013","1013","1013","A_01181","K_03863"
"ydcZ","","Inner membrane protein YdcZ","2","2","1","135","170","","","","449","449","449","A_01187","K_05001"
"mcbR","","HTH-type transcriptional regulator McbR","2","2","1","135","167","","","","665","665","665","A_01190","K_05004"
"group_26","","hypothetical protein","2","2","1","119","84","","","","422","425","423","A_02505","K_01374"
"gstB_2","","Glutathione S-transferase GST-6.0","2","2","1","135","163","","","","617","617","617","A_01194","K_05008"
"group_2603","","hypothetical protein","2","2","1","135","192","","","","224","224","224","A_02219","K_03849"
"frdB","","Fumarate reductase iron-sulfur subunit","2","2","1","134","230","","","","734","734","734","A_00096","K_02970"
"hybG","","Hydrogenase-2 operon protein HybG","2","2","1","133","310","","","","248","248","248","A_01013","K_04078"
"yceF","","Maf-like protein YceF","2","2","1","135","370","","","","623","623","623","A_02348","K_03303"
"ybaB","","Nucleoid-associated protein YbaB","2","2","1","130","186","","","","329","329","329","A_00129","K_00913"
"engB","","putative GTP-binding protein EngB","2","2","1","126","118","","","","632","632","632","A_04559","K_02740"
"group_2609","","Ureidoglycolate lyase","2","2","1","125","43","","","","659","659","659","A_04154","K_04335"
"group_261","","hypothetical protein","2","2","1","120","2","","","","167","233","200","A_01202","K_03869"
"group_2610","","hypothetical protein","2","2","1","135","516","","","","779","779","779","A_02956","K_04983"
"hisQ","","Histidine transport system permease protein HisQ","2","2","1","135","1059","","","","686","686","686","A_01710","K_00418"
"purB","","Adenylosuccinate lyase","2","2","1","135","151","","","","1370","1370","1370","A_00627","K_02007"
"dmsB_2","","Anaerobic dimethyl sulfoxide reductase chain B","2","2","1","135","539","","","","617","617","617","A_02931","K_04960"
"rsxA","","Electron transport complex subunit RsxA","2","2","1","129","56","","","","581","581","581","A_03322","K_02120"
"sspA","","Stringent starvation protein A","2","2","1","133","70","","","","638","638","638","A_03646","K_04540"
"pyrH","","Uridylate kinase","2","2","1","132","296","","","","725","725","725","A_02164","K_01312"
"relA","","GTP pyrophosphokinase","2","2","1","134","966","","","","2234","2234","2234","A_00384","K_03635"
"lldD","","L-lactate dehydrogenase","2","2","1","134","436","","","","1190","1190","1190","A_04057","K_03084"
"metN","","Methionine import ATP-binding protein MetN","2","2","1","132","314","","","","1031","1031","1031","A_02134","K_01342"
"ssb_1","","Plasmid-derived single-stranded DNA-binding protein","2","2","1","120","1","","","","539","539","539","A_01203","K_03868"
"group_2620","","hypothetical protein","2","2","1","129","75","","","","236","236","236","A_03304","K_02137"
"ybeZ","","PhoH-like protein","2","2","1","135","1216","","","","1079","1079","1079","A_03155","K_04663"
"ppiC","","Peptidyl-prolyl cis-trans isomerase C","2","2","1","124","74","","","","281","281","281","A_01957","K_01105"
"artJ","","ABC transporter arginine-binding protein 1","2","2","1","135","576","","","","731","731","731","A_00010","K_04924"
"group_2624","","hypothetical protein","2","2","1","134","313","","","","416","416","416","A_04495","K_03954"
"hscB","","Co-chaperone protein HscB","2","2","1","127","69","","","","515","515","515","A_00758","K_01006"
"clpS","","ATP-dependent Clp protease adapter protein ClpS","2","2","1","135","552","","","","320","320","320","A_02917","K_04946"
"cysZ","","Sulfate transporter CysZ","2","2","1","116","32","","","","761","761","761","A_02610","K_00013"
"atpH","","ATP synthase subunit delta","2","2","1","134","523","","","","533","533","533","A_02417","K_02702"
"rpsJ","","30S ribosomal protein S10","2","2","1","121","54","","","","311","311","311","A_02089","K_01763"
"gcl","","Glyoxylate carboligase","2","2","1","130","152","","","","134","1781","957","A_01205","K_00950"
"rpmF","","50S ribosomal protein L32","2","2","1","135","368","","","","173","173","173","A_02350","K_03305"
"nikC","","Nickel transport system permease protein NikC","2","2","1","128","68","","","","833","833","833","A_00646","K_00634"
"virB","","Virulence regulon transcriptional activator VirB","2","2","1","106","31","","","","971","971","971","A_02483","K_01802"
"nhaR","","Transcriptional activator protein NhaR","2","2","1","132","144","","","","899","899","899","A_03970","K_01163"
"oppD_2","","Oligopeptide transport ATP-binding protein OppD","2","2","1","134","361","","","","983","983","983","A_03527","K_03166"
"infA","","Translation initiation factor IF-1","2","2","1","135","550","","","","218","218","218","A_02920","K_04949"
"rplK","","50S ribosomal protein L11","2","2","1","111","4","","","","428","428","428","A_01856","K_01636"
"adhE","","Aldehyde-alcohol dehydrogenase","2","2","1","125","110","","","","2675","2675","2675","A_04091","K_02065"
"sixA","","Phosphohistidine phosphatase SixA","2","2","1","135","1092","","","","485","485","485","A_01741","K_00387"
"amtB","","Ammonia channel","2","2","1","130","205","","","","1286","1286","1286","A_04384","K_00894"
"ybbJ","","Inner membrane protein YbbJ","2","2","1","130","165","","","","458","458","458","A_01218","K_00937"
"atpA","","ATP synthase subunit alpha","2","2","1","134","524","","","","1541","1541","1541","A_02418","K_02703"
"luxS","","S-ribosylhomocysteine lyase","2","2","1","134","38","","","","515","515","515","A_01484","K_01870"
"group_2642","","hypothetical protein","2","2","1","132","247","","","","308","308","308","A_03873","K_01265"
"rutF","","FMN reductase (NADH) RutF","2","2","1","135","439","","","","494","494","494","A_00257","K_03231"
"pykA","","Pyruvate kinase II","2","2","1","131","128","","","","1442","1442","1442","A_01608","K_00145"
"higB","","mRNA interferase HigB","2","2","1","133","202","","","","314","314","314","A_00927","K_04405"
"ribA","","GTP cyclohydrolase-2","2","2","1","135","295","","","","590","590","590","A_00523","K_03760"
"ypdA","","Sensor histidine kinase YpdA","2","2","1","135","1120","","","","1697","1697","1697","A_01766","K_00359"
"rpmH","","50S ribosomal protein L34","2","2","1","134","563","","","","140","140","140","A_02448","K_00762"
"tolB","","Protein TolB","2","2","1","135","1140","","","","1292","1292","1292","A_00596","K_04737"
"cusS","","Sensor kinase CusS","2","2","1","107","19","","","","1448","1448","1448","A_01228","K_03358"
"repE","","Replication initiation protein","2","2","1","106","16","","","","755","755","755","A_02481","K_01800"
"group_2651","","hypothetical protein","2","2","1","133","186","","","","305","305","305","A_00912","K_04421"
"ygiS","","putative deoxycholate-binding periplasmic protein YgiS","2","2","1","133","261","","","","1607","1607","1607","A_00987","K_02349"
"map","","Methionine aminopeptidase","2","2","1","132","293","","","","794","794","794","A_02167","K_01309"
"hybB","","putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit","2","2","1","133","315","","","","1178","1178","1178","A_01008","K_04083"
"yidG","","Inner membrane protein YidG","2","2","1","134","591","","","","362","362","362","A_03986","K_00735"
"ybjM","","Inner membrane protein YbjM","2","2","1","135","588","","","","377","377","377","A_00022","K_04909"
"ybhQ","","Inner membrane protein YbhQ","2","2","1","135","646","","","","410","410","410","A_00081","K_04847"
"group_266","","hypothetical protein","2","2","1","107","6","","","","368","383","375","A_01237","K_01777"
"bepA_1","","Beta-barrel assembly-enhancing protease","2","2","1","127","110","","","","1463","1463","1463","A_00722","K_01526"
"lacC","","Tagatose-6-phosphate kinase","2","2","1","135","912","","","","938","938","938","A_02901","K_04279"
"aceA","","Isocitrate lyase","2","2","1","134","266","","","","1304","1304","1304","A_02762","K_04002"
"group_2663","","hypothetical protein","2","2","1","135","1237","","","","263","263","263","A_03132","K_04635"
"eno","","Enolase","2","2","1","134","969","","","","1298","1298","1298","A_00389","K_03638"
"glpR_1","","Glycerol-3-phosphate regulon repressor","2","2","1","134","943","","","","731","731","731","A_00363","K_03614"
"ybhS","","Inner membrane transport permease YbhS","2","2","1","135","644","","","","1133","1133","1133","A_00079","K_04849"
"ttcA","","tRNA 2-thiocytidine biosynthesis protein TtcA","2","2","1","135","227","","","","935","935","935","A_01794","K_03817"
"araC","","Arabinose operon regulatory protein","2","2","1","132","189","","","","878","878","878","A_03928","K_01210"
"lptA","","Lipopolysaccharide export system protein LptA","2","2","1","133","93","","","","557","557","557","A_03622","K_04517"
"allE","","(S)-ureidoglycine aminohydrolase","2","2","1","115","21","","","","131","785","458","A_01253","K_02877"
"ghoT","","Toxin GhoT","2","2","1","134","659","","","","173","173","173","A_03448","K_02943"
"xerC","","Tyrosine recombinase XerC","2","2","1","124","40","","","","896","896","896","A_01996","K_01070"
"group_2672","","hypothetical protein","2","2","1","134","317","","","","281","281","281","A_04499","K_03950"
"group_2673","","hypothetical protein","2","2","1","103","14","","","","764","764","764","A_03976","K_01818"
"ispH","","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","2","2","1","132","153","","","","950","950","950","A_03961","K_01174"
"lptB_1","","Lipopolysaccharide export system ATP-binding protein LptB","2","2","1","128","111","","","","767","767","767","A_00670","K_00591"
"rbsD","","D-ribose pyranase","2","2","1","134","510","","","","419","419","419","A_02404","K_02689"
"fucU","","L-fucose mutarotase","2","2","1","134","944","","","","422","422","422","A_00364","K_03615"
"rpsU","","30S ribosomal protein S21","2","2","1","133","219","","","","215","215","215","A_00945","K_04387"
"cysB_2","","HTH-type transcriptional regulator CysB","2","2","1","135","301","","","","974","974","974","A_01017","K_03755"
"yibH","","Inner membrane protein YibH","2","2","1","134","423","","","","1136","1136","1136","A_04068","K_03095"
"group_2681","","hypothetical protein","2","2","1","134","202","","","","398","398","398","A_02661","K_02999"
"group_2682","","hypothetical protein","2","2","1","127","111","","","","1061","1061","1061","A_00721","K_01525"
"cpxR","","Transcriptional regulatory protein CpxR","2","2","1","126","74","","","","698","698","698","A_01145","K_01954"
"group_2684","caiA_2","Crotonobetainyl-CoA dehydrogenase","2","2","1","132","165","","","","1142","1142","1142","A_03951","K_01186"
"group_2685","","hypothetical protein","2","2","1","134","781","","","","635","635","635","A_03423","K_03454"
"elbB","","Enhancing lycopene biosynthesis protein 2","2","2","1","133","84","","","","653","653","653","A_03631","K_04526"
"group_2687","","hypothetical protein","2","2","1","135","519","","","","182","182","182","A_02953","K_04980"
"rarA","","Replication-associated recombination protein A","2","2","1","135","542","","","","1343","1343","1343","A_02928","K_04957"
"corC_3","","Magnesium and cobalt efflux protein CorC","2","2","1","135","1218","","","","878","878","878","A_03153","K_04661"
"mlaF","","putative phospholipid import ATP-binding protein MlaF","2","2","1","133","98","","","","809","809","809","A_03617","K_04512"
"lpp_2","","Major outer membrane lipoprotein Lpp","2","2","1","129","108","","","","236","236","236","A_03269","K_02172"
"mipA","","MltA-interacting protein","2","2","1","131","50","","","","746","746","746","A_00870","K_00070"
"pemK","","Endoribonuclease PemK","2","2","1","98","12","","","","332","332","332","A_01334","K_02477"
"group_2694","","hypothetical protein","2","2","1","134","777","","","","566","566","566","A_03427","K_03450"
"tusB","","Protein TusB","2","2","1","128","146","","","","287","287","287","A_04171","K_00481"
"group_2696","","hypothetical protein","2","2","1","130","221","","","","314","314","314","A_04368","K_00878"
"csrA","","Carbon storage regulator","2","2","1","134","42","","","","185","185","185","A_01475","K_03725"
"group_27","","hypothetical protein","2","2","1","119","38","","","","278","401","339","A_02522","K_01476"
"klcA_3","","Antirestriction protein KlcA","2","2","1","104","23","","","","425","425","425","A_01273","K_05025"
"pbpG","","D-alanyl-D-alanine endopeptidase","2","2","1","135","879","","","","932","932","932","A_01545","K_04246"
"mltF","","Membrane-bound lytic murein transglycosylase F","2","2","1","127","38","","","","1556","1556","1556","A_00789","K_00975"
"mtnN","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","2","2","1","132","285","","","","698","698","698","A_02175","K_01302"
"mshD","","Mycothiol acetyltransferase","2","2","1","132","96","","","","446","446","446","A_04436","K_02606"
"galR","","HTH-type transcriptional regulator GalR","2","2","1","134","912","","","","1031","1031","1031","A_01922","K_03583"
"hdeA","","Acid stress chaperone HdeA","2","2","1","128","26","","","","332","332","332","A_03093","K_00681"
"fryB_2","","Fructose-like phosphotransferase enzyme IIB component 1","2","2","1","135","1127","","","","326","326","326","A_01773","K_00352"
"group_2707","","hypothetical protein","2","2","1","133","242","","","","170","170","170","A_00968","K_02368"
"glgA","","Glycogen synthase","2","2","1","128","134","","","","1433","1433","1433","A_04258","K_00568"
"aceE","","Pyruvate dehydrogenase E1 component","2","2","1","132","239","","","","2663","2663","2663","A_03881","K_01257"
"mdtM","","Multidrug resistance protein MdtM","2","2","1","132","49","","","","1232","1232","1232","A_01296","K_03396"
"zapA","","Cell division protein ZapA","2","2","1","134","823","","","","329","329","329","A_03387","K_03495"
"group_2711","","hypothetical protein","2","2","1","135","784","","","","275","275","275","A_00471","K_04158"
"ratA","","Ribosome association toxin RatA","2","2","1","118","25","","","","476","476","476","A_01344","K_02648"
"greA","","Transcription elongation factor GreA","2","2","1","133","112","","","","476","476","476","A_03603","K_04498"
"speD","","S-adenosylmethionine decarboxylase proenzyme","2","2","1","132","245","","","","794","794","794","A_03875","K_01263"
"rpsC","","30S ribosomal protein S3","2","2","1","121","47","","","","701","701","701","A_02082","K_01756"
"group_2716","","hypothetical protein","2","2","1","135","1181","","","","743","743","743","A_02748","K_04697"
"qseC","","Sensor protein QseC","2","2","1","133","255","","","","1349","1349","1349","A_00981","K_02355"
"fldI","","hypothetical protein","2","2","1","132","46","","","","194","767","480","A_01299","K_03399"
"srpC","","putative chromate transport protein","2","2","1","103","16","","","","1205","1205","1205","A_03978","K_01816"
