"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"argI_1","","ornithine carbamoyltransferase chain I","0","105","92","95","0.0","47.5","0.0","2.2971876713389383e-23","1.14073745383349e-18","2.592585122348841e-20","5","0","5","0.0625","0.0625"
"arcA","","Arginine deiminase","0","105","92","95","0.0","47.5","0.0","2.2971876713389383e-23","1.14073745383349e-18","2.592585122348841e-20","5","0","5","0.0625","0.0625"
"argI","","ornithine carbamoyltransferase chain I","92","95","0","105","100.0","52.5","inf","2.2971876713389383e-23","1.14073745383349e-18","2.592585122348841e-20","5","5","0","0.0625","0.0625"
"tabA","","toxin-antitoxin biofilm protein","92","95","0","105","100.0","52.5","inf","2.2971876713389383e-23","1.14073745383349e-18","2.592585122348841e-20","5","5","0","0.0625","0.0625"
"group_13352","","hypothetical protein","56","13","36","187","60.86956521739131","93.5","22.376068376068375","3.6228835345308813e-23","1.799051505577345e-18","3.9978922346163223e-20","21","17","8","0.0071973800659179705","0.38331031799316395"
"argR_2","","ArgR-arg","0","104","92","96","0.0","48.0","0.0","5.176203773951781e-23","2.5703992700689756e-18","5.468934617168033e-20","5","0","5","0.0625","0.0625"
"yfcC_1","","putative inner membrane protein; putative S-transferase","0","104","92","96","0.0","48.0","0.0","5.176203773951781e-23","2.5703992700689756e-18","5.468934617168033e-20","5","0","5","0.0625","0.0625"
"group_15459","higB","Endoribonuclease HigB","3","119","89","81","3.260869565217391","40.5","0.022944009064299876","5.718061304531829e-23","2.8394748826044157e-18","5.915572672092532e-20","8","3","6","0.2890624999999999","0.7265625000000002"
"group_16829","","hypothetical protein","0","103","92","97","0.0","48.5","0.0","1.3997582824175904e-22","6.950919678829271e-18","1.4185550364957696e-19","5","0","5","0.0625","0.0625"
"group_2644","","hypothetical protein","0","102","92","98","0.0","49.0","0.0","1.7915436422915e-22","8.896447418891131e-18","1.67857498469644e-19","4","0","4","0.125","0.125"
"group_26509","mprA_2","MprA-CCCP","0","102","92","98","0.0","49.0","0.0","1.7915436422915e-22","8.896447418891131e-18","1.67857498469644e-19","3","0","3","0.25","0.25"
"argI_2","","ornithine carbamoyltransferase chain I","0","102","92","98","0.0","49.0","0.0","1.7915436422915e-22","8.896447418891131e-18","1.67857498469644e-19","5","0","5","0.0625","0.0625"
"group_26460","tabA_1","toxin-antitoxin biofilm protein","0","102","92","98","0.0","49.0","0.0","1.7915436422915e-22","8.896447418891131e-18","1.67857498469644e-19","5","0","5","0.0625","0.0625"
"mhpF","","acetaldehyde dehydrogenase 2","90","87","2","113","97.82608695652173","56.49999999999999","58.44827586206897","2.427705626508187e-22","1.2055500600114357e-17","2.2325001111322885e-19","13","11","2","0.022460937500000003","0.022460937500000003"
"group_10714","","hypothetical protein","15","152","77","48","16.304347826086957","24.0","0.06151742993848257","3.595732996032581e-22","1.7855690911698592e-17","3.246489256672471e-19","21","8","15","0.07835388183593749","0.38331031799316395"
"yfcR","","putative fimbrial-like adhesin protein","0","101","92","99","0.0","49.5","0.0","4.257787018871276e-22","2.114331877831098e-17","3.5836133522560984e-19","1","0","1","1.0","1.0"
"yfcQ","","putative fimbrial-like adhesin protein","0","101","92","99","0.0","49.5","0.0","4.257787018871276e-22","2.114331877831098e-17","3.5836133522560984e-19","1","0","1","1.0","1.0"
"gadB_2","","glutamate decarboxylase B subunit","0","101","92","99","0.0","49.5","0.0","4.257787018871276e-22","2.114331877831098e-17","3.5836133522560984e-19","10","0","10","0.001953125","0.001953125"
"group_5406","gadB_1","glutamate decarboxylase B subunit","0","101","92","99","0.0","49.5","0.0","4.257787018871276e-22","2.114331877831098e-17","3.5836133522560984e-19","8","0","8","0.0078125","0.0078125"
"rfaL","","O-antigen ligase","3","116","89","84","3.260869565217391","42.0","0.024409143742735374","6.020969059967834e-22","2.989892815798827e-17","4.983154692998045e-19","8","3","6","0.2890624999999999","0.7265625000000002"
"group_10715","","hypothetical protein","78","51","14","149","84.78260869565217","74.5","16.277310924369747","6.231536869236925e-22","3.0944565785256724e-17","5.072879636927331e-19","21","16","7","0.026603698730468753","0.18924713134765628"
"group_5996","yiaY","putative Fe-containing alcohol dehydrogenase","1","106","91","94","1.0869565217391304","47.0","0.009744972009122952","7.742210289647087e-22","3.84462678563295e-17","6.201010944569275e-19","4","1","3","0.625","0.625"
"yibD_2","","putative glycosyl transferase","3","115","89","85","3.260869565217391","42.5","0.024914509037616023","8.214479502982514e-22","4.079146231591057e-17","6.373665986861027e-19","8","3","6","0.2890624999999999","0.7265625000000002"
"waaJ_2","","UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase","3","115","89","85","3.260869565217391","42.5","0.024914509037616023","8.214479502982514e-22","4.079146231591057e-17","6.373665986861027e-19","8","3","6","0.2890624999999999","0.7265625000000002"
"group_6755","","hypothetical protein","0","99","92","101","0.0","50.5","0.0","1.3603198870584862e-21","6.755076495155031e-17","1.0234964386598533e-18","3","0","3","0.25","0.25"
"group_21315","rraB","ribonuclease E inhibitor protein B","0","99","92","101","0.0","50.5","0.0","1.3603198870584862e-21","6.755076495155031e-17","1.0234964386598533e-18","5","0","5","0.0625","0.0625"
"group_11307","","hypothetical protein","75","46","17","154","81.52173913043478","77.0","14.769820971867007","1.4611827425636681e-21","7.255941263022663e-17","1.0829763079138304e-18","17","13","8","0.049041748046874986","0.9999999999999998"
"group_18856","","hypothetical protein","1","105","91","95","1.0869565217391304","47.5","0.009942438513867086","2.220157492737542e-21","1.1024858077436087e-16","1.6213026584464833e-18","4","1","4","0.125","0.625"
"group_10329","","hypothetical protein","1","104","91","96","1.0869565217391304","48.0","0.01014370245139476","2.5912989584048494e-21","1.2867872367646802e-16","1.8649090387893914e-18","3","1","2","1.0","1.0"
"yjgL_1","","putative protein","76","49","16","151","82.6086956521739","75.5","14.637755102040817","2.9767753304821516e-21","1.478207093610827e-16","2.1117244194440385e-18","13","8","9","0.26684570312499983","0.5810546875"
"ycbF","","putative periplasmic pilin chaperone","0","97","92","103","0.0","51.5","0.0","4.495704939870504e-21","2.232477159040895e-16","3.100662720890132e-18","3","0","3","0.25","0.25"
"group_16796","","hypothetical protein","0","97","92","103","0.0","51.5","0.0","4.495704939870504e-21","2.232477159040895e-16","3.100662720890132e-18","2","0","2","0.5","0.5"
"mhpC","","2-hydroxy-6-ketonona-2,4-dienedioate hydrolase","91","97","1","103","98.91304347826086","51.5","96.62886597938144","6.469497345643956e-21","3.2126229918998756e-16","4.227135515657731e-18","6","5","1","0.21875000000000003","0.21875000000000003"
"mhpD","","2-hydroxypentadienoate hydratase","91","97","1","103","98.91304347826086","51.5","96.62886597938144","6.469497345643956e-21","3.2126229918998756e-16","4.227135515657731e-18","6","5","1","0.21875000000000003","0.21875000000000003"
"group_20984","sra","30S ribosomal subunit protein S22","1","103","91","97","1.0869565217391304","48.5","0.010348874426544329","6.469497345643956e-21","3.2126229918998756e-16","4.227135515657731e-18","3","1","2","1.0","1.0"
"yfcP","","putative fimbrial-like adhesin protein","1","103","91","97","1.0869565217391304","48.5","0.010348874426544329","6.469497345643956e-21","3.2126229918998756e-16","4.227135515657731e-18","4","1","3","0.625","0.625"
"nmpC_1","","outer membrane porin protein; locus of qsr prophage","1","102","91","98","1.0869565217391304","49.0","0.010558069381598794","8.842025408827e-21","4.3907729775153113e-16","5.62919612501963e-18","8","1","7","0.0703125","0.0703125"
"gadA","","glutamate decarboxylase A subunit","1","102","91","98","1.0869565217391304","49.0","0.010558069381598794","8.842025408827e-21","4.3907729775153113e-16","5.62919612501963e-18","9","1","9","0.00390625","0.0390625"
"group_22032","yadM","putative fimbrial-like adhesin protein","0","96","92","104","0.0","52.0","0.0","1.0037494209943452e-20","4.984418874773719e-16","6.309390980726227e-18","2","0","2","0.5","0.5"
"group_16375","prfA_2","peptide chain release factor RF1","80","60","12","140","86.95652173913044","70.0","15.555555555555555","1.0343339703308688e-20","5.136295629869028e-16","6.420369537336285e-18","14","8","6","0.7905273437500004","0.7905273437500004"
"mhpE","","4-hydroxy-2-ketovalerate aldolase","91","99","1","101","98.91304347826086","50.5","92.83838383838383","1.9820787543400776e-20","9.842606678301957e-16","1.1858562263014407e-17","4","3","1","0.625","0.625"
"rsxC","","member of SoxR-reducing complex","91","99","1","101","98.91304347826086","50.5","92.83838383838383","1.9820787543400776e-20","9.842606678301957e-16","1.1858562263014407e-17","20","20","1","1.9073486328125e-06","4.005432128906249e-05"
"group_14622","kgtP_1","alpha-ketoglutarate:H+ symporter","1","101","91","99","1.0869565217391304","49.5","0.010771406811010771","1.9820787543400776e-20","9.842606678301957e-16","1.1858562263014407e-17","3","1","2","1.0","1.0"
"group_753","","hypothetical protein","51","12","41","188","55.434782608695656","94.0","19.48780487804878","2.010501350179265e-20","9.983747604720193e-16","1.1885413815143086e-17","9","7","2","0.17968750000000003","0.17968750000000003"
"group_7317","","hypothetical protein","73","45","19","155","79.34782608695652","77.5","13.23391812865497","2.068510946988832e-20","1.0271811660557143e-15","1.2084484306537815e-17","18","12","10","0.23788452148437486","0.8145294189453123"
"group_10103","","hypothetical protein","0","95","92","105","0.0","52.5","0.0","2.6564724507965614e-20","1.3191510896165564e-15","1.533896615833205e-17","3","0","3","0.25","0.25"
"insA-1","","IS1 protein InsA","0","94","92","106","0.0","53.0","0.0","3.1093644599989443e-20","1.5440482035462757e-15","1.7747680500531906e-17","3","0","3","0.25","0.25"
"prfA_2","","peptide chain release factor RF1","13","141","79","59","14.130434782608695","29.5","0.06885716850704732","3.4060357369824945e-20","1.691369226270767e-15","1.922010484398599e-17","15","7","9","0.6072387695312501","0.9999999999999997"
"waaI","","UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase","4","113","88","87","4.3478260869565215","43.5","0.03499597747385358","5.0768623555492087e-20","2.521068308518626e-15","2.8326610208074454e-17","8","4","6","0.2890624999999999","1.0"
"group_52932","sucB_2","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","1","100","91","100","1.0869565217391304","50.0","0.01098901098901099","5.259626654293132e-20","2.6118254039888836e-15","2.9020282266543154e-17","2","1","1","1.0","1.0"
"group_8059","","hypothetical protein","73","46","19","154","79.34782608695652","77.0","12.862700228832953","5.720951886162808e-20","2.840910287630727e-15","3.121879436956843e-17","17","12","10","0.14346313476562497","0.629058837890625"
"group_53486","sdhC","succinate dehydrogenase membrane protein","1","99","91","101","1.0869565217391304","50.5","0.011211011211011212","6.315115722344058e-20","3.1359601654016124e-15","3.408652353697405e-17","2","1","2","0.5","1.0"
"group_18227","","hypothetical protein","52","14","40","186","56.52173913043478","93.0","17.271428571428572","7.141382848731788e-20","3.5462678950232315e-15","3.784504852549208e-17","19","15","8","0.019210815429687503","0.6476058959960938"
"group_2613","lacZ","beta-galactosidase monomer","0","93","92","107","0.0","53.5","0.0","7.163869993548381e-20","3.557434561396255e-15","3.784504852549208e-17","2","0","2","0.5","0.5"
"group_5144","dsdC","DsdC DNA-binding transcriptional dual regulator","51","13","41","187","55.434782608695656","93.5","17.893058161350844","8.163686785048123e-20","4.053923583719197e-15","4.267287982862313e-17","8","7","3","0.0703125","0.7265625000000002"
"group_1590","","hypothetical protein","47","9","45","191","51.08695652173913","95.5","22.165432098765432","8.619083827317566e-20","4.280064646969357e-15","4.458400673926413e-17","9","8","2","0.0390625","0.17968750000000003"
"group_15099","","hypothetical protein","48","10","44","190","52.17391304347826","95.0","20.727272727272727","9.229426526875288e-20","4.583148624715731e-15","4.72489548939766e-17","10","8","3","0.10937500000000003","0.3437499999999999"
"rraB","","ribonuclease E inhibitor protein B","91","102","1","98","98.91304347826086","49.0","87.43137254901961","1.4718919155372058e-19","7.309120874174656e-15","7.45828660630067e-17","5","4","1","0.375","0.375"
"ygcG","","putative protein","83","72","9","128","90.21739130434783","64.0","16.395061728395063","1.584094837101971e-19","7.866298142080967e-15","7.927384993217704e-17","13","11","4","0.022460937500000003","0.26684570312499983"
"nemR_2","","NemR DNA-binding transcriptional repressor","67","36","25","164","72.82608695652173","82.0","12.20888888888889","1.5963963496753202e-19","7.927384993217705e-15","7.927384993217704e-17","17","13","8","0.049041748046874986","0.9999999999999998"
"group_19744","","hypothetical protein","66","34","26","166","71.73913043478261","83.0","12.393665158371041","1.7181725919521566e-19","8.532101457116019e-15","8.447625205065365e-17","8","6","3","0.2890624999999999","0.7265625000000002"
"fimI_2","","fimbrial protein","2","103","90","97","2.1739130434782608","48.5","0.0209277238403452","1.8284279579406383e-19","9.079607553541621e-15","8.647245289087258e-17","4","2","3","0.625","1.0"
"panB","","3-methyl-2-oxobutanoate hydroxymethyltransferase monomer","90","97","2","103","97.82608695652173","51.5","47.78350515463917","1.8284279579406383e-19","9.079607553541621e-15","8.647245289087258e-17","4","3","2","0.625","1.0"
"ycbV","","putative fimbrial-like adhesin protein","2","103","90","97","2.1739130434782608","48.5","0.0209277238403452","1.8284279579406383e-19","9.079607553541621e-15","8.647245289087258e-17","4","2","3","0.625","1.0"
"group_19159","fimC_1","periplasmic chaperone, required for type 1 fimbriae","2","103","90","97","2.1739130434782608","48.5","0.0209277238403452","1.8284279579406383e-19","9.079607553541621e-15","8.647245289087258e-17","4","2","3","0.625","1.0"
"mhpB","","3-(2,3-dihydroxyphenyl)propionate dioxygenase monomer","89","93","3","107","96.73913043478261","53.5","34.132616487455195","1.8940155370667083e-19","9.40530235396586e-15","8.872926749024397e-17","10","9","2","0.021484374999999997","0.10937500000000003"
"ykfG","","CP4-6 prophage; predicted DNA repair protein","63","29","29","171","68.47826086956522","85.5","12.809750297265161","1.9724057789847583e-19","9.794572617282513e-15","9.153806184376181e-17","10","8","4","0.10937500000000003","0.7539062500000002"
"group_13065","rbsA_1","ribose ABC transporter - putative ATP binding subunit","53","16","39","184","57.608695652173914","92.0","15.628205128205128","2.1461450246527134e-19","1.0657326963420445e-14","9.867895336500411e-17","10","8","3","0.10937500000000003","0.3437499999999999"
"mhpR","","MhpR transcriptional activator","90","98","2","102","97.82608695652173","51.0","46.83673469387755","2.3202373622367694e-19","1.152183469339535e-14","1.0380031255311128e-16","6","4","2","0.6875000000000002","0.6875000000000002"
"yadN","","putative fimbrial-like adhesin protein","2","102","90","98","2.1739130434782608","49.0","0.021350762527233117","2.32023736223677e-19","1.1521834693395352e-14","1.0380031255311128e-16","3","2","2","1.0","1.0"
"group_18220","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase monomer","2","102","90","98","2.1739130434782608","49.0","0.021350762527233117","2.32023736223677e-19","1.1521834693395352e-14","1.0380031255311128e-16","3","2","2","1.0","1.0"
"group_5867","","hypothetical protein","44","7","48","193","47.82608695652174","96.5","25.273809523809526","2.6556747327406794e-19","1.3187549587843666e-14","1.1774597846288988e-16","20","16","6","0.011817932128906248","0.11531829833984371"
"group_3524","","hypothetical protein","72","46","20","154","78.26086956521739","77.0","12.052173913043479","2.6914190473142704e-19","1.3365048705153205e-14","1.1827476730224076e-16","18","12","10","0.23788452148437486","0.8145294189453123"
"group_18855","","hypothetical protein","66","35","26","165","71.73913043478261","82.5","11.967032967032967","3.2371172274216443e-19","1.60748767279304e-14","1.410076905958807e-16","8","8","2","0.0078125","0.2890624999999999"
"ldrC","","small toxic polypeptide LdrC","78","59","14","141","84.78260869565217","70.5","13.314769975786925","3.3522428035931753e-19","1.664656731408299e-14","1.4475275925289558e-16","14","8","7","0.7905273437500004","1.0"
"group_25657","ybaM","small protein involved in the cell envelope stress response","76","55","16","145","82.6086956521739","72.5","12.522727272727273","3.631422007760766e-19","1.8032915406138413e-14","1.5545616729429667e-16","8","7","2","0.0703125","0.2890624999999999"
"ybgO","","putative fimbrial-like adhesin protein","24","161","68","39","26.08695652173913","19.5","0.0854950675922543","4.727600586139947e-19","2.3476318990653748e-14","2.0065229906541664e-16","6","2","6","0.03125","0.6875000000000002"
"group_25821","","hypothetical protein","80","65","12","135","86.95652173913044","67.5","13.846153846153847","4.895142466780229e-19","2.4308298461537262e-14","2.007488355520114e-16","17","12","7","0.14346313476562497","0.629058837890625"
"group_26469","","hypothetical protein","0","90","92","110","0.0","55.00000000000001","0.0","4.917431928051955e-19","2.4418983468320395e-14","2.007488355520114e-16","2","0","2","0.5","0.5"
"ynbA","","YnbA","0","90","92","110","0.0","55.00000000000001","0.0","4.917431928051955e-19","2.4418983468320395e-14","2.007488355520114e-16","2","0","2","0.5","0.5"
"mhpA","","3-(3-hydroxyphenyl)propionate 2-hydroxylase","89","94","3","106","96.73913043478261","53.0","33.45390070921986","4.932006512011235e-19","2.449135793734539e-14","2.007488355520114e-16","10","8","2","0.10937500000000003","0.10937500000000003"
"group_11474","","hypothetical protein","3","106","89","94","3.260869565217391","47.0","0.02989188043247827","4.932006512011235e-19","2.449135793734539e-14","2.007488355520114e-16","5","3","3","1.0","1.0"
"group_10317","htrE","putative outer membrane usher protein","2","101","90","99","2.1739130434782608","49.5","0.02178217821782178","5.290836447536801e-19","2.6273235631178247e-14","2.0851774310458926e-16","3","2","1","1.0","1.0"
"group_11587","yadL","hypothetical protein","2","101","90","99","2.1739130434782608","49.5","0.02178217821782178","5.290836447536801e-19","2.6273235631178247e-14","2.0851774310458926e-16","3","2","2","1.0","1.0"
"yadV","","putative pilin chaperone similar to PapD","2","101","90","99","2.1739130434782608","49.5","0.02178217821782178","5.290836447536801e-19","2.6273235631178247e-14","2.0851774310458926e-16","3","2","1","1.0","1.0"
"ycf3","","Photosystem I assembly protein Ycf3","2","101","90","99","2.1739130434782608","49.5","0.02178217821782178","5.290836447536801e-19","2.6273235631178247e-14","2.0851774310458926e-16","3","2","1","1.0","1.0"
"betT_2","","choline:H+ symporter","81","68","11","132","88.04347826086956","66.0","14.294117647058824","5.582021697945539e-19","2.7719203347657955e-14","2.182614436823461e-16","17","12","7","0.14346313476562497","0.629058837890625"
"group_52473","gltA","citrate synthase monomer","69","41","23","159","75.0","79.5","11.634146341463415","6.507370437313806e-19","3.2314300117612893e-14","2.5245546966885073e-16","9","7","3","0.17968750000000003","0.5078125"
"group_15022","","hypothetical protein","65","34","27","166","70.65217391304348","83.0","11.753812636165577","6.598517126339776e-19","3.2766916345978056e-14","2.5400710345719425e-16","9","7","3","0.17968750000000003","0.5078125"
